id	surface	gloss	level
1	전원의  행진	promenade	
2	1회의 최저 판매량	minimum purchase	
3	70세	threescore	
4	걸쇠만 걸고	on the  latch	
5	검은고니	black  swan	
6	겨우 말문이 열리다	find one's  tongue	
7	경계인	marginal man	
8	곤경에 빠져 있는 것을 모른체하다	leave a person in the  lurch	
9	교수	schoolman	
10	그런대로	for what it is  worth	
11	단면	fore edge	
12	대예언서	(the  Major Prophets	
13	뒤집히다	turn  turtle	
14	몹씁 장난	practical  joke	
15	물이 새지 않다	hold  water	
16	박탈하다	forejudge	
17	박탈하다	forjudge	
18	번지 레지스터	MAR	
19	베리식 신호광	very light	
20	살을 에는 듯하다	cut like a  knife	
21	살찌게 하다	tallow	
22	선의로 해석하다	take  kindly	
23	손가락 자국	thumbmark	
24	손님을 환대하다	keep  open house	
25	술통에서 갓낸	from the  wood	
26	스타트하다	get off the  mark	
27	아침 노래	matin	
28	어려움을 모면하여 배를 후진시키다	above  water	
29	여선생	schoolmarmish	
30	연장의 큰 브라운	(Brown  major	
31	열중하여	on the  make	
32	오락장거리	midway	
33	유행되고 있다	be in  wear	
34	일원이 되다	make  one	
35	일체 백지로 돌리다	clean the  slate	
36	자기의 것이 되다	come into one's  own	
37	자랑을 늘어 놓다	mount (ride) one's  hobby	
38	점잔빼다	look  wise	
39	정상이다	be  oneself	
40	정숙을 명하다	call to  order	
41	주맥	midrib	
42	주인	host	
43	죽어서도 눈을 못 감게 하다	make (a person) turn in his  grave	
44	짓궂은 사람	dog in the  manger	
45	쨍쨍거리는 여자	common  scold	
46	처리할 수 있는	machinereadable	
47	총톤수	gross(net)  tonnage	
48	큰쪽의	major	
49	키스를 보내다	blow a  kiss	
50	통틀어	in(by)the  lump	
51	하여주다	oblige	
52	해병대	marine	
53	호화판	edition de  luxe	
54	100파운드	keg	
55	10걸	the best  ten	
56	10분의 1의 세	mixed tithe	
57	10일	tenth	
58	12월	Adar	
59	16세기	cinquecento	
60	1단	tier	
61	1차 냉각수	primary coolant	
62	1차막	primary wall	
63	1통	counterpart	
64	1학년생의	freshman	
65	2개의 주사위를 굴리어 나온 질 숫자	crap	
66	2군 선수	halfblue	
67	2등	tourist class	
68	2인승 우주선	Gemini	
69	3배수의	triploid	
70	3색판	threecolo(u)r	
71	3행 광고	want ad	
72	4색 가설	fourcolor conjecture	
73	4인용 2륜마차	jaunting car	
74	4채널방식	quadraphonic	
75	4행정의	fourstroke	
76	5월의 여왕	Maid Marian	
77	60년제	diamond (silver)  jubilee	
78	6배의	six	
79	9일기도	novena	
80	가 지출결의	token vote	
81	가격 협정	pricefixing	
82	가까운	proximal	
83	가까이 못하게 하다	keep	
84	가끔	once in a  while	
85	가는 철사	cat('s) whisker	
86	가늘게 뜨다	squint	
87	가늘게 자르다	French	
88	가늘게 하다	thin	
89	가늘고 긴 홈	channel	
90	가닥이 진	proged	
91	가두다	lock in, shut in	
92	가두리를 꾸민	fringing	
93	가득찬	flush	
94	가라앉다	submerge	
95	가라앉히다	lull	
96	가락을 올리다	key	
97	가로막다	hedge	
98	가로수 길	vista	
99	가로장	tread	
100	가루 반죽	puff paste	
101	가루 부스러기	frass	
102	가르치다	accomplish	
103	가림 판	modesty panel	
104	가망 없는 것으로 치고 단념하다	give up for  lost	
105	가맹국	member nation	
106	가면극	masque	
107	가면을 벗다	throw off the  mask	
108	가미하다	lace	
109	가방	school bag	
110	가벼운	venial	
111	가사 일만을 맡아 보는 하녀	maid	
112	가상의 적과 싸우다	tilt	
113	가스	wind	
114	가스 정류장 장치	manostat	
115	가슴걸이	martingale	
116	가슴으로 테이프를 끊다	breast the  tape	
117	가시 면류관	crown of  thorn  s	
118	가옥	a house, building	
119	가이드 레일	guide rail	
120	가장  않다	least	
121	가장자리	verge	
122	가장자리 레이스	seaming	
123	가정 수호신	household gods	
124	가정부	ladyhelp	
125	가죽	leather	
126	가죽끈	leash	
127	가죽나무	tree	
128	가죽배	umiak	
129	가죽을 대다	tap	
130	가죽을 두두리는 받침돌	lapstone	
131	가지	tine	
132	가지가 7개 있는 장식 촛대	menorah	
133	가지치기	pruning	
134	가짜 자라 수프	mock turtle(soup)	
135	가짜약	quack	
136	가출옥 허가서	ticket of leave	
137	가출옥자	ticketofleave man	
138	가필하다	touch	
139	각 주파수	pulsatance	
140	각종 소형 자동차	funabout	
141	간격	interval	
142	간결함	laconism	
143	간담회	talkfest	
144	간선	main line	
145	간섭	meddling	
146	간이 부엌	kitchenet	
147	간이 의료 보조원	primary health worker	
148	간혹	once	
149	갈기갈기	from  limb	
150	갈다	shed	
151	갈색 반점	fox mark	
152	감금되어 있다	be under  ward	
153	감는 장치	take up	
154	감다	wind	
155	감독 대리	vicargeneral	
156	감독을 받고	under  surveillance	
157	감독하다.	proctor	
158	감미로운	saccharine	
159	감상적인	melting	
160	감시원	tidewaiter	
161	감시하다	keep (a)  watch	
162	감시하다	watch	
163	감아 올리는 장치	take up	
164	감안	consideration for sth in the figuring of	
165	감은 끝의 공백의 부분	trailer	
166	감찰	license plate	
167	감탕흙	ooze	
168	갑상 연골	thyroid	
169	갑자기	all at  once	
170	갑자기	out of a clear  sky	
171	갑자기 길로 벗어나다	fly (go) off at a  tangent	
172	갑자기 되튀다	kick	
173	갑자기 정지하다	check	
174	갑작스레 죽다	hop the  twig	
175	갓	calyptra	
176	갓천	tabling	
177	강의뜻	coel-	
178	강적	tiger	
179	강제하다	wish	
180	강해지다	tone	
181	갖은 수가 다하여	at the end of one's  tether	
182	같은	Mephistophelean, Mephistophelian	
183	개가식	open access	
184	개괄적으로	in the  general	
185	개시	throwoff	
186	개인 부담 환자	private patient	
187	개인 영업	private practice	
188	개인 인쇄소	private press	
189	개인 천막	shelter tent	
190	개인주의	privatism	
191	개자식	son	
192	개정기	term	
193	개정일	juridical	
194	개종하다	find  salvation	
195	객석조명	houselights	
196	객원 강사	privatdocent	
197	객원 강사	privatdozent	
198	객원 교수	visiting professor	
199	거꾸로	upside	
200	거꾸로 말하면	over the  left	
201	거대 유조선	megatanker	
202	거두다	score	
203	거들어서 벗겨주다	help	
204	거물	big  shot	
205	거부권	veto	
206	거센파도	tide rip(s)	
207	거웃	fur	
208	거의	kind	
209	거의  마찬가지	only	
210	거점	toehold	
211	거짓말도 작작 해라	marine	
212	거짓말을 하여 법석 떨게 하다	cry  wolf	
213	거짓에 가득찬 생활을 보내다	live	
214	거짓잠	makebelieve	
215	거품	frog spit	
216	거품	frog spittle	
217	거품 이는	humming	
218	건곤일척의 승부를 하다	go the  vole	
219	건널목 안전 당번	crossing guard	
220	건반	keyboard	
221	건재	hutting	
222	건조장	oast house	
223	걷다	leg	
224	걷어 올리다	tuck	
225	걷어차다	lash	
226	걷힘	lift	
227	걸다	hitch	
228	걸레받이널	mopboard	
229	걸리기 쉬운	liable	
230	걸리다	take	
231	걸쇠	agraffe	
232	걸언 가다	walk	
233	걸을 수 있게 되다	feel(find)one's  leg  s	
234	걸치다	shuffle	
235	검경관	object plate	
236	검량	metage	
237	검은 방울새의 일종	yellowbird	
238	검인 재판소	probate court	
239	것	concern	
240	것은 무엇이나	what	
241	겉	crust	
242	겉옷	crawler	
243	겉으로 보기에	seemingly	
244	겉잠	forty  wink  s	
245	겉치례뿐이다	have all one's goods in the (front)  window	
246	게다가	and  that	
247	게시판	tack board	
248	게시하다	write	
249	겨를 까부르다	winnow	
250	격발	spate	
251	격에 맞지 않게	out of one's  latitude	
252	격자	lattice	
253	격자형 배열	lattice	
254	견뎌내게 하다	tide	
255	견뎌내다	last	
256	견디다	keep	
257	견지	a slanting point of view (특수한), point of  view	
258	결빙	frazil	
259	결석의	lithic	
260	결승 시합을 하다	play (shoot) off the  tie	
261	결승전	cup final	
262	결승점	winning post	
263	결실	fructification	
264	결실 기관	fructification	
265	결정하지 않다	hang	
266	결코 아니다	(in) no  wise	
267	결코 않다	never	
268	결탁	logroll	
269	결투재판	wager	
270	결판내다	louse	
271	결핍되다	lack	
272	결혼 중매	matchmaking	
273	결혼식	marriage service	
274	겸비하다	unite	
275	겸형 적혈구 빈	sickle	
